RTs,subs,class,EncAct,subsMem,ECent
2.517,1,TRUE,2.7923,1,0.47138
1.2647,1,TRUE,3.114,2,0.47284
1.8763,1,TRUE,2.6424,2,0.22888
2.1612,1,FALSE,2.905,2,0.44744
1.9807,1,TRUE,2.3033,2,0.42967
1.4967,1,FALSE,0.2205,2,-0.21865
2.2092,1,FALSE,1.5741,2,-0.051936
2.9568,1,FALSE,0.78468,2,0.13031
1.8887,1,FALSE,1.3887,2,0.17496
1.3484,1,TRUE,1.0611,2,-0.25045
1.9211,1,FALSE,0.80157,1,0.28756
1.8327,1,TRUE,0.90599,2,-0.14567
1.9724,1,TRUE,2.3058,2,0.23547
2.1603,1,FALSE,4.065,2,-0.50971
1.261,1,TRUE,3.7364,2,0.62345
1.8166,1,FALSE,0.99992,1,-0.13039
1.8843,1,FALSE,2.7988,2,-0.23624
1.7889,1,FALSE,0.25084,1,0.33048
1.2407,1,TRUE,1.8399,2,-0.276
2.0605,1,FALSE,2.2065,1,-0.08577
2.4169,1,FALSE,-0.20122,2,0.10703
1.325,1,TRUE,3.1874,2,0.28495
1.6405,1,FALSE,1.2158,2,0.44238
1.7325,1,TRUE,0.44039,1,-0.18636
1.6491,1,TRUE,-2.3347,1,-0.32722
1.628,1,FALSE,4.2477,1,0.39876
1.5513,1,FALSE,1.933,2,-0.24845
1.6795,1,FALSE,-1.8811,2,0.36307
1.8872,1,FALSE,0.53541,1,0.20782
1.739,1,FALSE,-0.16358,2,-0.14738
1.5275,1,FALSE,2.2059,2,0.26447
2.1112,1,FALSE,0.98047,2,0.34821
2.2429,1,TRUE,2.8734,1,-0.37954
1.7233,1,TRUE,2.9838,2,-0.24328
1.983,1,TRUE,1.2941,1,-0.29927
1.3467,1,TRUE,0.73435,2,-0.076069
1.6875,1,TRUE,0.070919,2,0.34372
2.1792,1,TRUE,4.3258,2,-0.43188
2.875,1,FALSE,2.5133,1,-0.16114
1.5915,1,FALSE,0.84815,2,0.079677
1.9991,1,FALSE,3.0522,2,-0.24429
2.1708,1,FALSE,0.11784,2,0.14419
1.5154,1,TRUE,3.3538,2,0.66982
1.463,1,TRUE,1.4759,2,0.4458
2.0187,1,TRUE,3.3059,1,0.73843
1.8462,1,TRUE,2.057,2,-0.31145
1.4625,1,FALSE,1.952,2,0.27907
1.6823,1,TRUE,0.47654,1,0.00020293
2.1423,1,FALSE,-1.2216,2,0.44296
1.9227,1,FALSE,2.2011,1,0.38939
1.2465,1,TRUE,1.8389,2,-0.28672
1.5462,1,FALSE,2.7607,2,-0.21126
1.5741,1,TRUE,3.8359,2,0.81218
1.6505,1,FALSE,3.9034,2,-0.45504
1.2705,1,TRUE,-0.15478,2,0.37509
1.6698,1,TRUE,3.9515,2,0.73986
0,1,FALSE,2.3312,1,0.36443
1.5381,1,FALSE,1.4452,2,-0.01159
1.3787,1,TRUE,1.186,2,0.55297
1.8064,1,TRUE,0.81896,1,-0.29798
1.4743,1,TRUE,3.5852,2,0.45069
1.7021,1,TRUE,-0.39012,1,-0.13982
2.1148,1,FALSE,-0.76372,2,0.12418
1.9505,1,TRUE,1.3864,2,0.23245
2.2182,1,FALSE,1.2374,2,0.2033
1.4301,1,FALSE,2.8056,2,-0.62334
1.3866,1,FALSE,1.1576,2,0.26839
1.9425,1,FALSE,0.94882,2,-0.18841
1.732,1,FALSE,1.801,2,0.024592
1.855,1,FALSE,0.29564,2,-0.32065
1.9469,1,FALSE,1.1948,2,-0.36655
1.5988,1,TRUE,2.8214,1,-0.26571
1.4754,1,FALSE,2.4528,2,0.46683
1.275,1,TRUE,1.2756,2,-0.23036
1.1829,1,TRUE,1.5007,2,0.63152
2.4274,1,FALSE,2.9909,2,-0.17394
2.215,1,FALSE,2.3825,1,-0.2123
1.6189,1,FALSE,5.5018,2,-0.56372
1.5989,1,FALSE,2.907,2,0.54347
1.6672,1,FALSE,2.6397,2,-0.49317
1.4392,1,TRUE,1.2449,2,-0.27369
1.2909,1,TRUE,0.86624,2,-0.19938
1.4626,1,FALSE,-1.3518,1,-0.36404
1.0914,1,TRUE,3.9737,2,-0.24742
2.111,1,TRUE,1.2578,2,-0.12523
2.1229,1,TRUE,1.6337,2,-0.33119
1.9509,1,FALSE,2.407,2,0.46815
1.3234,1,TRUE,1.4591,1,0.15038
1.8471,1,FALSE,1.7162,2,0.1741
1.6545,1,TRUE,3.6518,2,0.24524
1.755,1,TRUE,-1.1305,2,0.27687
1.6067,1,FALSE,3.3227,1,-0.5782
2.1315,1,TRUE,2.2817,2,-0.1455
2.2628,1,FALSE,0.7441,2,0.31581
2.2744,1,FALSE,1.4904,2,0.34208
1.8542,1,FALSE,1.4087,2,-0.03429
1.331,1,TRUE,1.5565,2,-0.28696
2.0548,1,TRUE,0.55351,2,0.41262
1.6185,1,FALSE,2.9525,2,-0.46586
1.4951,1,FALSE,0.13943,2,0.00057477
2.1789,1,FALSE,3.7505,2,-0.12233
2.3587,1,TRUE,2.6317,1,0.60819
1.5065,1,TRUE,-0.02077,2,0.38085
1.2383,1,TRUE,3.5583,2,-0.49078
2.0751,1,TRUE,0.28716,2,0.55863
2.4067,1,FALSE,0.30128,1,-0.13919
2.2782,1,FALSE,-0.071784,2,0.22496
1.4509,1,TRUE,1.7002,1,0.47363
1.9384,1,FALSE,2.2174,2,0.55262
2.5512,1,FALSE,1.2464,2,-0.28684
1.5869,1,TRUE,1.6717,2,0.15772
2.0307,1,TRUE,1.3896,2,-0.36366
2.2025,1,FALSE,1.0747,1,0.1247
1.5752,1,TRUE,1.9969,2,-0.34559
2.1227,1,FALSE,1.4258,2,0.16092
2.6985,1,FALSE,-2.9183,1,-0.37885
2.5023,1,TRUE,1.8104,1,0.38645
2.1637,1,FALSE,4.4504,2,-0.30795
1.1869,1,FALSE,1.7873,2,-0.020247
2.2874,1,FALSE,-1.557,2,-0.15717
2.2509,1,FALSE,3.0619,1,0.49265
1.151,1,TRUE,2.68,2,0.61161
1.4275,1,FALSE,2.6053,2,-0.015908
1.9833,1,TRUE,1.25,2,0.39387
2.1951,1,FALSE,1.4644,2,-0.51456
1.351,1,TRUE,1.389,2,-0.11126
1.6349,1,TRUE,1.6136,2,-0.39759
1.5671,1,FALSE,1.0816,2,0.27934
2.6352,1,FALSE,0.96845,1,-0.15295
1.7509,1,FALSE,1.6385,2,-0.23059
1.4106,1,TRUE,1.0826,2,-0.3131
2.0073,1,TRUE,-0.34584,2,0.23115
1.8991,1,FALSE,-1.2738,1,0.41526
1.8147,1,TRUE,2.7028,1,0.56905
1.4427,1,TRUE,-0.56447,2,0.078841
1.2553,1,TRUE,2.4813,2,0.3689
2.5071,1,FALSE,-0.63924,2,0.031593
1.7749,1,FALSE,3.1592,2,-0.39148
2.2314,1,FALSE,3.5481,2,0.46533
2.6669,1,TRUE,0.53038,1,0.10736
1.9589,1,FALSE,2.4811,1,0.60252
2.2874,1,TRUE,1.8975,2,-0.033504
2.9424,2,TRUE,3.447,2,0.39717
2.6787,2,FALSE,2.7753,2,0.061898
1.8863,2,FALSE,2.5457,2,0.36292
2.1107,2,TRUE,-0.056238,2,0.21245
1.1625,2,TRUE,-1.0625,2,0.21692
2.0908,2,FALSE,1.0304,2,-0.20503
0,2,FALSE,0.12187,1,-0.23336
2.1103,2,FALSE,0.78055,1,-0.040297
0,2,FALSE,-2.2845,1,-0.36588
1.7546,2,TRUE,3.8815,2,0.43805
1.9629,2,FALSE,1.5888,1,0.25261
1.9507,2,TRUE,-1.5128,2,0.5009
1.8302,2,FALSE,0.57278,2,0.1268
2.0066,2,FALSE,0.14082,2,0.42543
1.3065,2,FALSE,-0.32362,2,0.11461
2.1664,2,TRUE,-0.13049,2,0.10778
2.3025,2,FALSE,1.0038,2,0.39709
1.9065,2,FALSE,1.7426,2,-0.00026761
1.2917,2,TRUE,1.6638,2,-0.03664
2.4441,2,FALSE,0.72297,2,0.3418
2.0759,2,TRUE,1.7693,2,-0.20464
2.0441,2,FALSE,1.4666,2,-0.10929
1.6838,2,TRUE,2.7932,2,0.50979
1.8796,2,FALSE,3.4026,2,0.46704
2.4042,2,FALSE,0.16369,1,0.097913
2.4399,2,FALSE,4.3325,2,0.55724
1.6599,2,FALSE,3.6962,2,0.13427
0,2,FALSE,-2.7593,1,0.37697
1.5878,2,TRUE,-2.2645,2,0.16641
1.8843,2,TRUE,0.14955,2,-0.19025
1.6476,2,TRUE,0.86111,2,0.089845
2.0777,2,TRUE,0.57086,2,0.24407
