subs,class,EEAct,ERAct,RRAct,EEActUnsigned,ERActUnsigned,RRActUnsigned,subsMem,RT,eHippLeft,eHippRight,rHippLeft,rHippRight,encSess,retSess,Item,ClassSpecVoxVals,OtherClassSpecVoxVals,IntensityActDiff,NrmIntensityActDiff,globalSignal,EERSA_CorClass,EERSA_IncClass,ERRSA_CorClass,ERRSA_IncClass,eHippLeftUnstd,eHippRightUnstd,rHippLeftUnstd,rHippRightUnstd,EEHippOnlyAct,ERHippOnlyAct,EIntensity_ActCor,EIntensity_ActInc,EIntensity_ActDiff
1,1,2.7923,0.31416,0.30118,2.7923,0.31416,0.30118,0,2.517,-0.19173,-0.17192,-0.10007,-0.20997,6,1,MORBID,2.0929,0.88225,1.0441,0.08316,0.49544,0.24874,-0.11128,0.0031108,-0.037969,-0.50311,-0.56297,0.23764,0.22908,2.8484,0.77784,0.63909,-0.98258,1.6217
1,1,3.114,0.65935,-0.0097852,3.114,0.65935,-0.0097852,1,1.2647,0.74823,0.72401,-1.1474,-0.96833,2,1,SOBER,-0.14785,-1.6882,0.86426,-0.45047,0.048966,0.24267,-0.061732,0.0017528,0.0012907,-0.091977,-0.17492,-0.34595,-0.23279,1.2058,0.95261,1.2956,-0.70174,1.9973
1,1,2.6424,-0.65059,0.55204,2.6424,-0.65059,0.55204,1,1.8763,-1.1079,-0.2633,0.39734,-0.079639,4,1,DIM,0.41499,-0.092311,0.36121,1.0596,0.10834,0.11655,-0.015326,-0.12945,-0.028569,-0.436,-0.21432,0.16344,0.0091402,-0.61079,-0.79238,1.003,-0.95958,1.9626
1,2,-2.905,0.3023,-0.30535,2.905,-0.3023,0.30535,1,2.1612,-0.29129,-0.077413,-0.56523,-1.4288,2,1,DREAMY,-0.40768,0.97194,-0.86327,0.49329,-0.11465,0.10861,-0.25127,0.031796,0.0078949,-0.063185,-0.009672,-0.26292,-0.44365,-0.26103,0.78208,0.76119,-0.78783,1.549
1,1,2.3033,0.13036,1.6408,2.3033,0.13036,1.6408,1,1.9807,-0.49205,-0.945,1.5672,1.8223,1,1,DEVILISH,1.2852,0.58167,0.61806,-0.031489,0.77619,0.24186,-0.067012,-0.12661,-0.026051,-0.27673,-0.40553,0.91026,0.87212,0.29617,-1.4522,0.68024,-0.90515,1.5854
1,2,-0.2205,0.072544,-0.010505,0.2205,-0.072544,0.010505,1,1.4967,0.92525,-0.59561,0.0010143,0.53233,1,1,FRIGID,0.87171,0.096826,0.59099,-0.19916,-0.34624,-0.046229,0.20857,0.041499,0.036026,0.46457,0.063221,-0.2248,-0.14415,-1.9797,0.41338,-0.60726,-0.26374,-0.34352
1,2,-1.5741,-1.4459,-2.2245,1.5741,1.4459,2.2245,1,2.2092,-0.47416,-0.59388,-0.095349,-0.17324,5,1,AERONAUTIC,2.3614,-1.0223,2.342,-1.7769,-0.23802,0.07063,-0.01818,0.011813,0.021605,0.25046,0.27302,-0.19092,-0.23562,-0.0044059,1.721,-0.058765,-0.93664,0.87787
1,2,-0.78468,0.44891,-1.3008,0.78468,-0.44891,1.3008,1,2.9568,-0.77701,-1.558,0.58738,0.63148,1,1,MERRY,0.47501,-0.22542,0.48254,-0.28831,-0.14175,0.05316,0.098915,-0.0028787,-0.05215,-0.0034714,-0.15964,0.075095,0.010694,0.75236,4.9899,0.595,0.22241,0.37259
1,2,-1.3887,-0.25789,1.6566,1.3887,0.25789,-1.6566,1,1.8887,2.0274,1.143,-0.78304,-0.13214,3,1,DANGEROUS,1.0239,0.16422,0.66508,-0.0091621,0.74296,0.027152,-0.021341,0.04043,0.010778,0.28804,-0.051328,0.17467,0.40664,1.5974,0.51975,1.3682,-0.79841,2.1667
1,1,1.0611,0.071545,1.6093,1.0611,0.071545,1.6093,1,1.3484,0.75803,0.075951,1.0972,0.38845,5,1,FLAMBOYANT,-0.41644,-0.67735,0.081771,-0.010639,0.4476,0.34319,-0.090871,0.060531,0.051617,0.76364,0.62795,0.57652,0.33498,3.1285,1.373,1.9266,-0.96818,2.8948
1,2,-0.80157,1.1635,-0.45421,0.80157,-1.1635,0.45421,0,1.9211,0.58066,-0.0086563,-0.6553,0.53438,3,1,THRIFTY,-0.31278,1.1924,-0.92003,2.1343,-0.012921,0.018669,0.13105,0.014661,0.05812,-0.37997,-0.62852,-0.23103,0.071624,-0.0073282,-0.10668,0.55261,-0.82505,1.3777
1,1,0.90599,0.65248,2.7585,0.90599,0.65248,2.7585,1,1.8327,-0.1511,-1.0569,-0.25603,-0.85567,3,1,NEEDY,1.4372,-0.24378,1.2071,0.082866,0.69652,0.18223,-0.0054273,0.044137,0.005021,0.066802,-0.15591,0.30803,0.21197,1.3733,1.3892,0.62319,-0.55604,1.1792
1,1,2.3058,1.8596,0.62762,2.3058,1.8596,0.62762,1,1.9724,0.6404,0.66743,-0.67339,-1.5588,4,1,COSMETIC,1.0066,-0.16583,0.84265,-0.37596,-0.26346,0.085401,-0.072701,0.10635,0.035521,0.022383,-0.025473,-0.3831,-0.56894,-0.78233,2.2183,1.1292,-1.3593,2.4885
1,2,-4.065,0.4136,-0.077556,4.065,-0.4136,0.077556,1,2.1603,0.27831,-0.18102,0.77839,0.72285,6,1,SLUMMY,0.7262,2.0658,-0.65298,-0.49112,-0.03875,0.17822,-0.30496,-0.0072811,0.014471,0.32236,0.21603,0.19425,0.098136,2.7373,1.572,2.4091,-1.2343,3.6434
1,1,3.7364,-0.24466,-1.8811,3.7364,-0.24466,-1.8811,1,1.261,0.12525,0.5668,-0.048552,-0.90903,4,1,CUTE,-0.19289,1.6011,-1.0669,0.50922,-0.24812,0.31054,-0.097523,0.05389,0.0011445,0.19666,0.31221,-0.18248,-0.41046,5.348,2.005,2.1722,-1.2227,3.395
1,2,-0.99992,0.70654,-0.97513,0.99992,-0.70654,0.97513,0,1.8166,-1.7088,-0.47596,-0.53155,-0.95657,2,1,ADULT,0.0078763,1.3875,-0.79464,0.40399,-0.23481,-0.023837,0.21464,-0.015658,0.03963,-0.28674,0.094037,-0.32286,-0.41278,-3.0946,-0.65308,-0.54507,0.69637,-1.2414
1,2,-2.7988,0.60072,2.4335,2.7988,-0.60072,-2.4335,1,1.8843,0.63117,0.32146,-2.4284,-1.2358,2,1,NATURAL,-0.85402,0.26977,-0.78937,-0.26772,0.71136,0.090085,-0.13334,0.044208,0.07071,0.08256,-0.042048,-0.346,0.1351,0.059399,-1.2279,0.9868,-1.5429,2.5297
1,2,-0.25084,-0.44167,-2.1749,0.25084,0.44167,2.1749,0,1.7889,0.42713,1.2803,-0.30701,0.38479,6,1,ELDERLY,0.39671,-1.3699,1.0847,-0.2133,-0.36297,0.1016,-0.0036087,0.0070164,-0.015014,0.0054932,0.17923,-0.32895,-0.18867,-0.27746,-1.0298,1.1127,0.45793,0.65475
1,1,1.8399,-0.30478,0.0026972,1.8399,-0.30478,0.0026972,1,1.2407,-0.94486,-0.12243,-0.91064,-1.0278,6,1,CONFIDENT,0.28767,-1.6877,1.1872,-0.73193,0.041097,0.36229,-0.065293,0.024618,0.029983,-0.21913,0.01392,-0.27783,-0.25149,0.42498,-1.7857,1.1661,-1.3731,2.5392
1,2,-2.2065,-0.1569,-0.52545,2.2065,0.1569,0.52545,0,2.0605,-0.5458,-0.10066,-0.72927,-1.0939,6,1,LITTLE,-0.46206,0.57085,-0.67222,0.1747,-0.31077,-0.032972,0.082152,0.026445,0.031558,-0.061218,0.068845,-0.42785,-0.49299,1.9467,1.2559,0.66915,0.31727,0.35188
1,2,0.20122,1.0555,1.781,-0.20122,-1.0555,-1.781,1,2.4169,1.1479,1.1681,1.3353,0.35535,2,1,BLESSED,-1.7265,2.7744,-2.8818,-0.84888,0.46933,0.026483,0.087503,0.01857,0.099969,0.088103,0.011726,0.66212,0.34141,1.1079,0.88401,0.76661,0.60779,0.15883
1,1,3.1874,-0.71124,-1.0653,3.1874,-0.71124,-1.0653,1,1.325,-0.31697,-1.4831,0.68544,0.16923,5,1,GENTLE,0.79653,0.3958,0.36271,-0.4494,-0.13402,0.1706,-0.01637,-0.10845,-0.038658,-0.19252,-0.50305,0.10975,-0.090165,0.32901,-1.3249,0.23278,-1.0324,1.2652
1,2,-1.2158,2.2068,-1.6337,1.2158,-2.2068,1.6337,1,1.6405,-0.72258,0.12901,1.8183,1.052,2,1,SKETCHY,-1.0212,0.67379,-1.1465,0.31611,-0.215,0.11141,-0.15717,-0.021768,-0.10325,-0.3973,-0.19616,0.40972,0.05961,1.1067,0.53218,0.8582,-1.0219,1.8801
1,1,0.44039,0.21907,0.22708,0.44039,0.21907,0.22708,0,1.7325,0.051594,0.29095,0.036528,1.0288,3,1,SANDY,0.23785,0.76928,-0.26733,-0.77579,0.03767,0.16721,-0.044299,0.12301,0.073267,-0.09864,-0.067339,0.011162,0.21756,-0.057913,0.23323,0.98568,-0.26695,1.2526
1,1,-2.3347,0.88173,0.90907,-2.3347,0.88173,0.90907,0,1.6491,-0.08693,-1.6796,-1.1606,-0.47803,6,1,SAFE,0.29703,-0.63888,0.58901,0.20923,0.39009,-0.15674,0.13125,-0.016121,-0.001712,-0.10682,-0.5303,-0.14941,0.099756,0.81205,-0.58644,-0.35725,1.1036,-1.4609
1,2,-4.2477,0.72829,1.0779,4.2477,-0.72829,-1.0779,0,1.628,0.90192,0.83085,0.0024113,0.72678,6,2,CREEPY,-0.14667,0.78393,-0.56111,-0.24173,0.38882,0.10699,-0.16281,0.024178,0.010975,0.45825,0.42389,0.20653,0.37453,3.1063,2.3831,1.3051,-1.7659,3.0711
1,2,-1.933,-1.4873,3.6107,1.933,1.4873,-3.6107,1,1.5513,-0.43189,-0.38792,0.40735,0.5942,1,2,SHADY,1.0022,0.9742,0.18164,-0.11329,0.95675,0.13193,-0.1301,-0.030757,-0.098301,-0.068693,-0.049055,0.66218,0.70889,0.68706,1.0565,0.6796,-0.84898,1.5286
1,2,1.8811,0.090549,0.64707,-1.8811,-0.090549,-0.64707,1,1.6795,-0.63264,-0.69495,0.024007,-0.44113,2,2,FADDISH,-1.912,0.55014,-1.7362,0.83018,0.07827,-0.058633,0.20173,0.025514,0.082769,-0.095065,-0.091694,0.031116,-0.093084,-1.3846,2.8483,-1.3173,-0.23597,-1.0813
1,2,-0.53541,-0.15667,-1.5848,0.53541,0.15667,1.5848,0,1.8872,-2.6725,-3.0249,0.29615,-0.88936,6,2,OFFICIAL,-2.3488,0.63947,-2.1119,0.43699,-0.17931,0.075807,0.021084,-0.0073513,-0.13293,-0.71993,-0.72819,-0.036357,-0.36171,1.1987,-0.1337,0.17882,-0.41816,0.59698
